MOM_ID	SAS_ID	PROJECT	PREDECESSOR_MOM_ID	PREDECESSOR_SAS_ID	STORAGE_MANAGER	SPACE_USED	CHANNELWIDTH	MAX_EXPOSURE	MIN_EXPOSURE	NR_CORRELATED
574812	368034	LC4_007	574716	367842	CasaStorageManagers	0.00224321536	48828.125	1802.0	1802.0	8
574814	368038	LC4_007	574717	367844	CasaStorageManagers	0.00224321536	48828.125	1802.0	1802.0	8
574816	368042	LC4_007	574718	367846	CasaStorageManagers	0.00224321536	48828.125	1802.0	1802.0	8
574818	368046	LC4_007	574719	367848	CasaStorageManagers	0.00224321536	48828.125	1802.0	1802.0	8
574820	368050	LC4_007	574720	367850	CasaStorageManagers	0.00224321536	48828.125	1802.0	1802.0	8
574822	368054	LC4_007	574721	367852	CasaStorageManagers	0.00224321536	48828.125	1802.0	1802.0	8
574824	368058	LC4_007	574722	367854	CasaStorageManagers	0.00224321536	48828.125	1802.0	1802.0	8
574826	368062	LC4_007	574723	367856	CasaStorageManagers	0.00224321536	48828.125	1802.0	1802.0	8
574828	368066	LC4_007	574724	367858	CasaStorageManagers	0.00224321536	48828.125	1802.0	1802.0	8
574830	368070	LC4_007	574725	367860	CasaStorageManagers	0.00224321536	48828.125	1802.0	1802.0	8
574832	368074	LC4_007	574726	367862	CasaStorageManagers	0.00224321536	48828.125	1802.0	1802.0	8
574834	368078	LC4_007	574727	367864	CasaStorageManagers	0.00224321536	48828.125	1802.0	1802.0	8
574836	368082	LC4_007	574728	367866	CasaStorageManagers	0.00224321536	48828.125	1802.0	1802.0	8
574838	368086	LC4_007	574729	367868	CasaStorageManagers	0.00224321536	48828.125	1802.0	1802.0	8
574981	372604	LC4_007	574928	372498	CasaStorageManagers	0.00251578368	48828.125	1802.0	1802.0	9
574983	372608	LC4_007	574929	372500	CasaStorageManagers	0.00251578368	48828.125	1802.0	1802.0	9
574985	372612	LC4_007	574930	372502	CasaStorageManagers	0.00251578368	48828.125	1802.0	1802.0	9
574987	372616	LC4_007	574931	372504	CasaStorageManagers	0.00251578368	48828.125	1802.0	1802.0	9
574989	372620	LC4_007	574932	372506	CasaStorageManagers	0.00251578368	48828.125	1802.0	1802.0	9
574991	372624	LC4_007	574933	372508	CasaStorageManagers	0.00251578368	48828.125	1802.0	1802.0	9
574993	372628	LC4_007	574934	372510	CasaStorageManagers	0.00251578368	48828.125	1802.0	1802.0	9
574995	372632	LC4_007	574935	372512	CasaStorageManagers	0.00251578368	48828.125	1802.0	1802.0	9
574997	372636	LC4_007	574936	372514	CasaStorageManagers	0.00251578368	48828.125	1802.0	1802.0	9
574999	372640	LC4_007	574937	372516	CasaStorageManagers	0.00251578368	48828.125	1802.0	1802.0	9
575001	372644	LC4_007	574938	372518	CasaStorageManagers	0.00251578368	48828.125	1802.0	1802.0	9
575003	372648	LC4_007	574939	372520	CasaStorageManagers	0.00251578368	48828.125	1802.0	1802.0	9
575005	372652	LC4_007	574940	372522	CasaStorageManagers	0.00251578368	48828.125	1802.0	1802.0	9
575007	372656	LC4_007	574941	372524	CasaStorageManagers	0.00251578368	48828.125	1802.0	1802.0	9
575009	372660	LC4_007	574942	372526	CasaStorageManagers	0.00251578368	48828.125	1802.0	1802.0	9
575011	372664	LC4_007	574943	372528	CasaStorageManagers	0.00251578368	48828.125	1802.0	1802.0	9
575013	372668	LC4_007	574944	372530	CasaStorageManagers	0.00251578368	48828.125	1802.0	1802.0	9
575015	372672	LC4_007	574945	372532	CasaStorageManagers	0.00251578368	48828.125	1802.0	1802.0	9
575017	372676	LC4_007	574946	372534	CasaStorageManagers	0.00251578368	48828.125	1802.0	1802.0	9
575019	372680	LC4_007	574947	372536	CasaStorageManagers	0.00251578368	48828.125	1802.0	1802.0	9
575021	372684	LC4_007	574948	372538	CasaStorageManagers	0.00251578368	48828.125	1802.0	1802.0	9
575023	372688	LC4_007	574949	372540	CasaStorageManagers	0.00251578368	48828.125	1802.0	1802.0	9
575025	372692	LC4_007	574950	372542	CasaStorageManagers	0.00251578368	48828.125	1802.0	1802.0	9
575027	372696	LC4_007	574951	372544	CasaStorageManagers	0.00251578368	48828.125	1802.0	1802.0	9
575029	372700	LC4_007	574952	372546	CasaStorageManagers	0.00251578368	48828.125	1802.0	1802.0	9
