SAS_ID	PROJECT	PREDDECESSOR_MOM_ID	PREDECESSOR_SAS_ID	PREDECESSOR_TYPE	STORAGE_MANAGER	SPACE_USED	RA	DEC	SAPS	FREQ_RES	TIME_RES	CHANNEL_WIDTH	CLOCK	MAX_EXPOSURE	MIN_EXPOSURE	ANTENNA_SET	NR_STATIONS	NR_INT_STATIONS	NR_CORRELATED	DEMIXING
245251	LC1_014	431064	431064	Beam Observation - 110-190 MHz	CasaStorageManagers	0.09530072064	2.7738216666699998E+002	4.87463888889E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	36	0	380	1
245253	LC1_014	431068	431068	Beam Observation - 110-190 MHz	CasaStorageManagers	0.09530052608	1.2340000000000001E+002	4.8217388888899997E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	36	0	380	1
245255	LC1_014	431072	431072	Beam Observation - 110-190 MHz	CasaStorageManagers	0.09530135552	1.87705916667E+002	1.2391111111100001E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	36	0	380	1
245257	LC1_014	431076	431076	Beam Observation - 110-190 MHz	CasaStorageManagers	0.0953011712	2.02784583333E+002	3.0509166666700001E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	36	0	380	1
245259	LC1_014	431080	431080	Beam Observation - 110-190 MHz	CasaStorageManagers	0.09530088448	2.12835416667E+002	5.2202777777800002E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	36	0	380	1
245261	LC1_014	431084	431084	Beam Observation - 110-190 MHz	CasaStorageManagers	0.09504987136	2.7738216666699998E+002	4.87463888889E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	36	0	379	1
245263	LC1_014	431088	431088	Beam Observation - 110-190 MHz	CasaStorageManagers	0.09530103808	1.2340000000000001E+002	4.8217388888899997E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	36	0	380	1
245265	LC1_014	431092	431092	Beam Observation - 110-190 MHz	CasaStorageManagers	0.09530185728	1.87705916667E+002	1.2391111111100001E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	36	0	380	1
245267	LC1_014	431096	431096	Beam Observation - 110-190 MHz	CasaStorageManagers	0.09505058816	2.02784583333E+002	3.0509166666700001E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	36	0	379	1
245269	LC1_014	431100	431100	Beam Observation - 110-190 MHz	CasaStorageManagers	0.09530177536	2.12835416667E+002	5.2202777777800002E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	36	0	380	1
245271	LC1_014	431104	431104	Beam Observation - 110-190 MHz	CasaStorageManagers	0.09530114048	2.7738216666699998E+002	4.87463888889E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	36	0	380	1
245273	LC1_014	431108	431108	Beam Observation - 110-190 MHz	CasaStorageManagers	0.0953022976	1.2340000000000001E+002	4.8217388888899997E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	36	0	380	1
245275	LC1_014	431112	431112	Beam Observation - 110-190 MHz	CasaStorageManagers	0.09505051648	1.87705916667E+002	1.2391111111100001E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	36	0	379	1
245277	LC1_014	431116	431116	Beam Observation - 110-190 MHz	CasaStorageManagers	0.09530160128	2.02784583333E+002	3.0509166666700001E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	36	0	380	1
