MOM_ID	SAS_ID	PROJECT	PREDECESSOR_MOM_ID	PREDECESSOR_SAS_ID	STORAGE_MANAGER	SPACE_USED	CHANNELWIDTH	MAX_EXPOSURE	MIN_EXPOSURE	NR_CORRELATED
575002	372646	LC4_007	575001	372644	CasaStorageManagers	0.00493647872	48828.125	1802.0	1802.0	1
575004	372650	LC4_007	575003	372648	CasaStorageManagers	0.00493647872	48828.125	1802.0	1802.0	1
575006	372654	LC4_007	575005	372652	CasaStorageManagers	0.00493647872	48828.125	1802.0	1802.0	1
575008	372658	LC4_007	575007	372656	CasaStorageManagers	0.00493647872	48828.125	1802.0	1802.0	1
575010	372662	LC4_007	575009	372660	CasaStorageManagers	0.00493647872	48828.125	1802.0	1802.0	1
575012	372666	LC4_007	575011	372664	CasaStorageManagers	0.00493647872	48828.125	1802.0	1802.0	1
575014	372670	LC4_007	575013	372668	CasaStorageManagers	0.00493647872	48828.125	1802.0	1802.0	1
575016	372674	LC4_007	575015	372672	CasaStorageManagers	0.00493647872	48828.125	1802.0	1802.0	1
575018	372678	LC4_007	575017	372676	CasaStorageManagers	0.00493647872	48828.125	1802.0	1802.0	1
575020	372682	LC4_007	575019	372680	CasaStorageManagers	0.00493647872	48828.125	1802.0	1802.0	1
575022	372686	LC4_007	575021	372684	CasaStorageManagers	0.00493647872	48828.125	1802.0	1802.0	1
575024	372690	LC4_007	575023	372688	CasaStorageManagers	0.00493647872	48828.125	1802.0	1802.0	1
575026	372694	LC4_007	575025	372692	CasaStorageManagers	0.00493647872	48828.125	1802.0	1802.0	1
575028	372698	LC4_007	575027	372696	CasaStorageManagers	0.00493647872	48828.125	1802.0	1802.0	1
575030	372702	LC4_007	575029	372700	CasaStorageManagers	0.00493647872	48828.125	1802.0	1802.0	1
575032	372706	LC4_007	575031	372704	CasaStorageManagers	0.00493647872	48828.125	1802.0	1802.0	1
575034	372710	LC4_007	575033	372708	CasaStorageManagers	0.00493647872	48828.125	1802.0	1802.0	1
575036	372714	LC4_007	575035	372712	CasaStorageManagers	0.00493647872	48828.125	1802.0	1802.0	1
575038	372718	LC4_007	575037	372716	CasaStorageManagers	0.00493647872	48828.125	1802.0	1802.0	1
575040	372722	LC4_007	575039	372720	CasaStorageManagers	0.00493647872	48828.125	1802.0	1802.0	1
575042	372726	LC4_007	575041	372724	CasaStorageManagers	0.00493647872	48828.125	1802.0	1802.0	1
575044	372730	LC4_007	575043	372728	CasaStorageManagers	0.00493647872	48828.125	1802.0	1802.0	1
575046	372734	LC4_007	575045	372732	CasaStorageManagers	0.00493647872	48828.125	1802.0	1802.0	1
575048	372738	LC4_007	575047	372736	CasaStorageManagers	0.00493647872	48828.125	1802.0	1802.0	1
575050	372742	LC4_007	575049	372740	CasaStorageManagers	0.00493647872	48828.125	1802.0	1802.0	1
575052	372746	LC4_007	575051	372744	CasaStorageManagers	0.00493647872	48828.125	1802.0	1802.0	1
575054	372750	LC4_007	575053	372748	CasaStorageManagers	0.00493647872	48828.125	1802.0	1802.0	1
575056	372754	LC4_007	575055	372752	CasaStorageManagers	0.00493647872	48828.125	1802.0	1802.0	1
575058	372758	LC4_007	575057	372756	CasaStorageManagers	0.00493647872	48828.125	1802.0	1802.0	1
575060	372762	LC4_007	575059	372760	CasaStorageManagers	0.00493647872	48828.125	1802.0	1802.0	1
575062	372766	LC4_007	575061	372764	CasaStorageManagers	0.00493647872	48828.125	1802.0	1802.0	1
575064	372770	LC4_007	575063	372768	CasaStorageManagers	0.00493647872	48828.125	1802.0	1802.0	1
575066	372774	LC4_007	575065	372772	CasaStorageManagers	0.00493647872	48828.125	1802.0	1802.0	1
575068	372778	LC4_007	575067	372776	CasaStorageManagers	0.00493647872	48828.125	1802.0	1802.0	1
575070	372782	LC4_007	575069	372780	CasaStorageManagers	0.00493647872	48828.125	1802.0	1802.0	1
575072	372786	LC4_007	575071	372784	CasaStorageManagers	0.00493647872	48828.125	1802.0	1802.0	1
575074	372790	LC4_007	575073	372788	CasaStorageManagers	0.00493647872	48828.125	1802.0	1802.0	1
575076	372794	LC4_007	575075	372792	CasaStorageManagers	0.00493647872	48828.125	1802.0	1802.0	1
575078	372798	LC4_007	575077	372796	CasaStorageManagers	0.00493647872	48828.125	1802.0	1802.0	1
