MOM_ID	SAS_ID	PROJECT	OBSERVATION_TYPE	SUCCESSOR_MOM_ID	SUCCESSOR_SAS_ID	SUCCESSOR_TYPE	STORAGE_MANAGER	SPACE_USED	RA	DEC	SAPS	CHANNELWIDTH	CLOCK	TIME_RES	MAX_EXPOSURE	MIN_EXPOSURE	ANTENNA_SET	NR_STATIONS	NR_INT_STATIONS	NR_CORRELATED	Size dysco compr [TB]	Expected compression time if LBA per subband	Expected compression time if HBA per subband	Expected compression time per dataset [HR]
236684	115546	Commissioning2013	Interferometer - 110-190 MHz				LofarStorageManager	1,456275702	3,5639166666999998E+001,3,5664999999999999E+001	4,2349166666999999E+001,4,3035555555999998E+001	0,1	0,30517578125	200	1,139	14399	0	HBA Dual	37	8	488	0,3786316825	1799,875	10439,275	1415,101722
236689	115547	Commissioning2013	Interferometer - 110-190 MHz				LofarStorageManager	0,9054531584	2,44E+01	3,3159722221999999E+001	0	0,30517578125	200	1,139	14399	0	HBA Dual	37	8	244	0,2354178212	1799,875	10439,275	707,5508611
236692	115548	Commissioning2013	Interferometer - 110-190 MHz				LofarStorageManager	1,456275702	3,5639166666999998E+001,3,5664999999999999E+001	4,2349166666999999E+001,4,3035555555999998E+001	0,1	0,30517578125	200	1,139	14399	0	HBA Dual	37	8	488	0,3786316825	1799,875	10439,275	1415,101722
236705	115551	Commissioning2013	Interferometer - 110-190 MHz				LofarStorageManager	0,9054531584	2,44E+01	3,3159722221999999E+001	0	0,30517578125	200	1,139	14399	0	HBA Dual	37	8	244	0,2354178212	1799,875	10439,275	707,5508611
236708	115552	Commissioning2013	Interferometer - 110-190 MHz				LofarStorageManager	1,456275702	3,5639166666999998E+001,3,5664999999999999E+001	4,2349166666999999E+001,4,3035555555999998E+001	0,1	0,30517578125	200	1,139	14399	0	HBA Dual	37	8	488	0,3786316825	1799,875	10439,275	1415,101722
236713	115553	Commissioning2013	Interferometer - 110-190 MHz				LofarStorageManager	0,9054531584	2,44E+01	3,3159722221999999E+001	0	0,30517578125	200	1,139	14399	0	HBA Dual	37	8	244	0,2354178212	1799,875	10439,275	707,5508611
236716	115554	Commissioning2013	Interferometer - 110-190 MHz				LofarStorageManager	1,456275702	3,5639166666999998E+001,3,5664999999999999E+001	4,2349166666999999E+001,4,3035555555999998E+001	0,1	0,30517578125	200	1,139	14399	0	HBA Dual	37	8	488	0,3786316825	1799,875	10439,275	1415,101722
236721	115555	Commissioning2013	Interferometer - 110-190 MHz				LofarStorageManager	0,9054531584	2,44E+01	3,3159722221999999E+001	0	0,30517578125	200	1,139	14399	0	HBA Dual	37	8	244	0,2354178212	1799,875	10439,275	707,5508611
236724	115556	Commissioning2013	Interferometer - 110-190 MHz				LofarStorageManager	1,456275702	3,5639166666999998E+001,3,5664999999999999E+001	4,2349166666999999E+001,4,3035555555999998E+001	0,1	0,30517578125	200	1,139	14399	0	HBA Dual	37	8	488	0,3786316825	1799,875	10439,275	1415,101722
236729	115557	Commissioning2013	Interferometer - 110-190 MHz				LofarStorageManager	0,9054531584	2,44E+01	3,3159722221999999E+001	0	0,30517578125	200	1,139	14399	0	HBA Dual	37	8	244	0,2354178212	1799,875	10439,275	707,5508611
236732	115558	Commissioning2013	Interferometer - 110-190 MHz				LofarStorageManager	1,456275702	3,5639166666999998E+001,3,5664999999999999E+001	4,2349166666999999E+001,4,3035555555999998E+001	0,1	0,30517578125	200	1,139	14399	0	HBA Dual	37	8	488	0,3786316825	1799,875	10439,275	1415,101722
236737	115559	Commissioning2013	Interferometer - 110-190 MHz				LofarStorageManager	0,9054531584	2,44E+01	3,3159722221999999E+001	0	0,30517578125	200	1,139	14399	0	HBA Dual	37	8	244	0,2354178212	1799,875	10439,275	707,5508611
236740	115560	Commissioning2013	Interferometer - 110-190 MHz				LofarStorageManager	1,456275702	3,5639166666999998E+001,3,5664999999999999E+001	4,2349166666999999E+001,4,3035555555999998E+001	0,1	0,30517578125	200	1,139	14399	0	HBA Dual	37	8	488	0,3786316825	1799,875	10439,275	1415,101722
236745	115561	Commissioning2013	Interferometer - 110-190 MHz				LofarStorageManager	0,9054531584	2,44E+01	3,3159722221999999E+001	0	0,30517578125	200	1,139	14399	0	HBA Dual	37	8	244	0,2354178212	1799,875	10439,275	707,5508611
236748	115562	Commissioning2013	Interferometer - 110-190 MHz				LofarStorageManager	1,456275702	3,5639166666999998E+001,3,5664999999999999E+001	4,2349166666999999E+001,4,3035555555999998E+001	0,1	0,30517578125	200	1,139	14399	0	HBA Dual	37	8	488	0,3786316825	1799,875	10439,275	1415,101722
237532	116090	LC0_043	Interferometer - 110-190 MHz				LofarStorageManager	0,7882665984	2,03E+02	3,0509166669999999E+001	0	0,30517578125	200	2,278	14399	0	HBA Dual Inner	37	0	324	0,2049493156	1799,875	10439,275	939,53475
237535	116091	LC0_043	Interferometer - 110-190 MHz				LofarStorageManager	0,4784456704	1,7006208333000001E+002	1,2991666670000001E+001	0	0,30517578125	200	2,278	14399	0	HBA Dual Inner	37	0	324	0,1243958743	1799,875	10439,275	939,53475
240082	118454	Commissioning2013	Interferometer - 110-190 MHz				LofarStorageManager	13,65715381	3,5272916666666703E+001,3,6542916666666699E+001	3,5937222222222204E+001,3,4358333333333299E+001	0,1	0,30517578125	200	1,139	14399	0	HBA Dual	37	8	244	3,550859991	1799,875	10439,275	707,5508611
240089	118452	Commissioning2013	Interferometer - 110-190 MHz				LofarStorageManager	13,49204652	3,5272916666666703E+001,3,6542916666666699E+001	3,5937222222222204E+001,3,4358333333333299E+001	0,1	0,30517578125	200	1,139	14399	0	HBA Dual	37	8	241	3,507932095	1799,875	10439,275	698,8514653
240092	118453	Commissioning2013	Interferometer - 110-190 MHz				LofarStorageManager	0,2612463616	2,4422083333333301E+001	3,31597222222222E+001	0	0,30517578125	200	1,139	14399	0	HBA Dual	37	8	140	0,06792405402	1799,875	10439,275	405,9718056
232188	111635	LC0_043	Interferometer - 30-90 MHz				LofarStorageManager	26,98431308	1,4896958333000001E+002,1,2340020833299999E+002	6,9679444439999997E+001,4,8217305555599999E+001	0,1	0,152587890625	200	0,996147	14399	0	LBA Outer	37	0	488	7,0159214	1799,875	10439,275	243,9830556
240096	118520	LC0_026	Interferometer - 110-190 MHz				LofarStorageManager	0,411090944	1,2340000000000001E+002	4,8217500000000001E+001	0	0,30517578125	200	1,139	14399	0	HBA Joined	44	8	160	0,1068836454	1799,875	10439,275	463,9677778
240099	118521	LC0_026	Interferometer - 110-190 MHz				LofarStorageManager	3,718928794	1,4896479166699999E+002,1,48888221096E+002,1,4969685459600001E+002	6,9679386666699997E+001,6,9065294851100006E+001,6,5565227244400006E+001	0,1,2	0,30517578125	200	1,139	14399	0	HBA Joined	44	8	480	0,9669214863	1799,875	10439,275	1391,903333
240106	118522	LC0_026	Interferometer - 110-190 MHz				LofarStorageManager	0,411090944	1,2340000000000001E+002	4,8217500000000001E+001	0	0,30517578125	200	1,139	14399	0	HBA Joined	44	8	160	0,1068836454	1799,875	10439,275	463,9677778
