MOM_ID	SAS_ID	PROJECT	OBSERVATION_TYPE	SUCCESSOR_MOM_ID	SUCCESSOR_SAS_ID	SUCCESSOR_TYPE	STORAGE_MANAGER	SPACE_USED	RA	DEC	SAPS	CHANNELWIDTH	CLOCK	TIME_RES	MAX_EXPOSURE	MIN_EXPOSURE	ANTENNA_SET	NR_STATIONS	NR_INT_STATIONS	NR_CORRELATED	Size dysco compr [TB]	Expected compression time if LBA per subband	Expected compression time if HBA per subband	Expected compression time per dataset
505611	294305	DDT3_003	Beam Observation - 110-190 MHz				LofarStorageManager	0,2579112346	3,00E+02	4,07E+01	0	0	200	0,250348	1199	1199	HBA One	23	0	360	0,06705692099	239,8	839,3	83,93
505613	294307	DDT3_003	Beam Observation - 10-90 MHz				LofarStorageManager	12,97303015	3.5949023734988998E+002,3.5085000000000002E+002	-2.2325487089517099E-001,5.8814999999999998E+001	0,1	0	200	0,250348	16679	16679	LBA Outer	38	0	488	4,670290856	2084,875	12092,275	282,6163889
505616	294309	DDT3_003	Beam Observation - 110-190 MHz				LofarStorageManager	3,582720205	3,59E+02	-2,23E-01	0	0	200	0,250348	16679	16679	HBA One	23	0	360	1,289779274	2084,875	12092,275	1209,2275
516890	340256	LC3_012	Beam Observation - 10-90 MHz				LofarStorageManager	0,00247547904	8,36E+01	2,20E+01	0	0	200	1,000079	59	59	LBA Outer	23	0	258	0,0006436245504	11,8	41,3	0,8456666667
516896	340264	LC3_012	Beam Observation - 10-90 MHz				LofarStorageManager	0,00267362304	8,36E+01	2,20E+01	0	0	200	1,000079	59	59	LBA Outer	24	0	258	0,0006951419904	11,8	41,3	0,8456666667
516905	340272	LC3_012	Beam Observation - 10-90 MHz				LofarStorageManager	0,00267362304	8,36E+01	2,20E+01	0	0	200	1,000079	59	59	LBA Outer	24	0	258	0,0006951419904	11,8	41,3	0,8456666667
517285	340764	LC3_012	Beam Observation - 10-90 MHz				LofarStorageManager	0,00238912512	8,36E+01	2,20E+01	0	0	200	1,000079	59	59	LBA Outer	23	0	258	0,0006211725312	11,8	41,3	0,8456666667
517400	341068	LC3_012	Beam Observation - 10-90 MHz				LofarStorageManager	0,00267362304	8,36E+01	2,20E+01	0	0	200	1,000079	59	59	LBA Outer	24	0	258	0,0006951419904	11,8	41,3	0,8456666667
517410	341078	LC3_012	Beam Observation - 10-90 MHz				LofarStorageManager	0,00267362304	8,36E+01	2,20E+01	0	0	200	1,000079	59	59	LBA Outer	24	0	258	0,0006951419904	11,8	41,3	0,8456666667
515059	341138	LC3_004	Beam Observation - 110-190 MHz				LofarStorageManager	6,318887731	1,99E+02	4,20E+01	0	0	200	1,00139	28439	28439	HBA Dual Inner	47	9	366	2,274799583	4621,3375	19551,8125	1987,767604
